Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (Âµg)
Chocolate swiss roll,1 serving,,306.08,6.01,19.76,0.29,26.97,18.83,44.53,42.79,1.08,0.19,8.91
Chocolate syrup,2 T.,40,80,0,0,0,22,,,,,,
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),1 serving,,424.8,6.56,23.62,1.54,47.1,22.58,280.44,36.1,1.37,0.16,4.22
Choconut ice cream,1 serving,,273.96,5.04,18.49,0.51,23.13,21.02,29.83,67.38,0.89,2.17,29.32
Choux pastry,1 serving,,222.37,5.55,14.96,0.56,16.2,1.5,132.28,19.43,0.83,,
Choux swans,1 serving,,216.34,4.35,15.6,0.35,14.92,6.13,145.08,44.67,0.51,4.27,18.67
Christmas bell biscuit,1 serving,,404.85,5.66,15.84,2.33,60.79,25.94,127.01,32,1.22,0,2.42
Christmas biscuit,1 serving,,406.07,5.67,15.88,2.17,60.97,26.01,127.36,29.07,1.2,0,2.42
Christmas cake,1 serving,,372.95,5.49,16.88,1.49,48.29,27.45,64.84,40.98,1.32,8.51,17.06
Christmas star biscuit,1 serving,,392.03,3.54,10.04,1.47,74.54,53.05,76.09,22.75,0.96,0.01,2.69
Christmas tree biscuit,1 serving,,385.63,5.43,15,2.65,58.41,24.77,120.45,35.04,1.18,1.61,2.58
Christmas wreath biscuit,1 serving,,386.05,5.43,15.01,2.28,58.07,24.89,120.2,29.71,1.21,2.28,2.53
Chum chum,1 serving,,130.05,1.52,1.92,0.02,28.27,27.84,16.65,62.58,0.13,2.69,10.2
Clam chowder,1 cup,255,85,5,2,0.5,12,,,,,,
Clams,3 oz.,85,87,12,1,0,2,,,,,,
Classic club sandwich,1 serving,,200.83,6.74,11.56,1.62,18.49,1.86,277.49,107.73,1.09,16.19,56.9
Classic italian pasta,1 serving,,42.12,0.57,2.45,1.36,4.4,2.94,49.04,19.55,0.41,,
Classic seasoned black beans,1 serving,,28.78,8.01,8.28,3.51,7.66,0.44,7989.07,40.11,1.9,8.54,4.61
Clear tomato soup (Tamatar ka soup),1 serving,,80.07,4.79,12.22,1.96,3.45,1.44,5135.74,29.05,1.14,53.16,43.91
